word
ပါ
တဲ့
တွေ
မ
ဘူး
တို့
ဟူ
သော
ခဲ့
သည့်
ကြီး
ကား
များ
ဖွယ်
ရာ
လာ
ရေး
လို့
ဟေ့
တော့
ပဲ
ရ
နေ
လည်း
နိုင်
လား
နော်
ဖူး
သေး
သ
လဲ
ဗျာ
မူ
ဟု
ကြ
တာ
လောက်
မှန်း
နဲ့
မှု
စွာ
ပြန်
စု
ပေး
လိုက်
ထား
စေ
ရော
ဦး
သာ
စ
တောင်
ခြင်း
သည်
ပေ
ပွဲ
သွား
ကြောင်း
တိုင်း
ရန်
ပျော်
စောင်
ချင်
ဖြစ်
စမ်း
ချပ်
ဆို
စီ
ဖို့
ကဲ့
သို့
ခင်
ပေါ့
စာ
ခ့ဲ
တွင်
ခု
ဘဲ
ဟာ
ပင်
မီ
လေ
ပါး
လေ့
ဦး
ကျ
ပြ
သင့်
လျှင်
ကြည့်
လုံး
ထဲ
ကုန်
မှ
ချင်း
လိမ့်
ဟ
င့်
အင်း
ထည်
ခန့်
မြဲ
မိ
ဆုံး
ရှိ
ယောက်
ချေ
ကြိမ်
ရယ်
နေ့
ဖက်
က
လေး
မျှ
ပတ်
ဟုတ်
ကျော်
ပိုင်း
၍
ခေါက်
ချက်
ကို
လှ
မို့
လက်
ခံ
ည့်
ရပ်
စင်း
သား
ခါ
ထပ်
ပါ့
လော
ပြီး
မည့်
ဗျ
တတ်
တုန်း
ကွယ်
အုံ
မျိုး
ရှင်
သူ
တိုင်
လို
လွန်း
အေး
ရုံ
နီး
ဆ
ပုံ
စွမ်း
ကွာ
ကောင်း
တ
ဆိတ်
ရက်
ယောင်
အောင်
တွဲ
ချောင်း
ငံ
ဟင်
နှ
ခွန်း
ဖြာ
ဟဲ
ပေါက်
ပစ်
ပြီ
ကော
မြောက်
မဲ့
တည်း
တော်
ဘု
ရား
ဖြင့်
ကိုး
ဟင့်
သုတ်
ရဲ့
စုံ
စည်း
ကောင်
လိ
မ့်
လီ
ခက်
အ
တွေ့
အံ
ဖွဲ့
ရဲ
စီး
ဝိုင်း
မယ့်
ချည်း
ထစ်
နှင့်
။
ပြော
ကျိပ်
မှန်
ကာ
မြို့
ရေ
ထံ
ခ
န့်
ဆင့်
ဆောင်
သီ
သိ
ရံ
သွယ်
သော်
လု
မှာ
ပုဒ်
ပြု
ယံ
ဇာ
လတ်
ယ့်
တယ်
ငြား
ရင်
စက်
ခွေး
အပ်
ပို
တင်
ကွယ့်
အုပ်
ငယ်
ပေါ်
ခိုင်း
မယ်
ဆူ
ဗျာ့
လျှက်
ကဲ
ချည်
နှီး
ဖေ
စား
ချီ
တက်
တန်
ယုံ
နပ်
ရွေ့
ခပ်
ခွ
ဝံ့
ချ
လျက်
ဝယ်
အို
ကေ
တပ်
ဘာ
သင်း
ကိုက်
လုပ်
မေး
ဟယ်
ဥစ္စာ
ရွာ
လှမ်း
တုံး
ဟဲ့
ဘိ
ထွက်
မြှောက်
ဆဲ
ရစ်
အုန်း
စွ
တိ
ရှာ
ရွက်
တီ
ဗွီ
ဘာ့ဂ်
ခဲ
ရော့
နာ
ယူ
အေ
စို့
ပန်း
ဖီး
ဖြ
ဟော
တွက်
ဒါ
ထိုက်
ပွင့်
ပ
ဗျို့
ဂိုး
ရောက်
အဲ
ကတ်
ငါ့
ကွ
ဥ
ဒေ
ချည့်
တစ်
ပြိုင်
တည့်
နောက်
ကြောင့်
ဟေး
ပေါင်
ရိုး
ဝက်
ကျန်
ရုပ်
ဆန်
‌
ကွဲ့
မှတ်
စဉ်
ဆေး
သောက်
ပြား
လွှာ
ထောက်
ဖိုး
နည်း
ဗျား
လျံ
ဘက်
ဘူ
ကျွန်
တော့်
လံ
စျေး
တောင့်
ရှင့်
ကြား
ကြော
လိပ်
ကိုင်း
ငါ
ဆီ
စိမ့်
ပေ့
ပြင်
ဖာ
လူ
ရင်း
မှုန်
ထုတ်
သွင်း
ငုံ
ပက်
ပို့
လုတ်
ခန်း
ထင်
ဝ
ခြမ်း
ကွက်
ရောင်
ခွက်
ထက်
ဟီး
ဆင်း
ဘိုင့်
ဘိုင်
ပျံ့
လွ
လ
တမ်း
ထုပ်
ထောင်
ပြေ
ဝမ်
ခေတ်
"
အံ့
ရွယ်
တွင်း
နှယ်
တန်း
ထီး
ရီ
ပူ
အား
မြင်
ကြုံ
ဘယ်
ထိ
ကျင်း
ချိုး
ညီ
ခေါင်း
ထ
နား
စည်
တောင်း
